ccd,grid_row,grid_col,row_residue,column_residue,maximum_flux_difference,maximum_uncertainty_difference,phase_sum
3,1,45,6,7,2.7755575615628914e-17,2.6020852139652106e-18,0.9999999999999998
3,1,45,6,8,0.0,0.0,0.9999999999999998
3,1,45,7,0,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,45,7,1,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999998
3,1,45,7,2,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,45,7,3,2.7755575615628914e-17,1.734723475976807e-18,1.0
3,1,45,7,4,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999998
3,1,45,7,5,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999993
3,1,45,7,6,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999991
3,1,45,7,7,2.7755575615628914e-17,6.938893903907228e-18,0.9999999999999991
3,1,45,7,8,2.7755575615628914e-17,8.673617379884035e-19,1.0
3,1,45,8,0,0.0,0.0,1.0000000000000004
3,1,45,8,1,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999996
3,1,45,8,2,0.0,0.0,1.0
3,1,45,8,3,0.0,0.0,0.9999999999999998
3,1,45,8,4,0.0,0.0,1.0000000000000004
3,1,45,8,5,0.0,0.0,1.0
3,1,45,8,6,0.0,0.0,1.0
3,1,45,8,7,1.3877787807814457e-17,1.734723475976807e-18,1.0
3,1,45,8,8,0.0,0.0,1.0000000000000007
3,1,557,0,0,0.0,0.0,1.0
3,1,557,0,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,557,0,2,0.0,0.0,1.0000000000000002
3,1,557,0,3,0.0,0.0,0.9999999999999996
3,1,557,0,4,0.0,0.0,1.0000000000000002
3,1,557,0,5,0.0,0.0,1.0
3,1,557,0,6,0.0,0.0,0.9999999999999997
3,1,557,0,7,1.3877787807814457e-17,1.734723475976807e-18,0.9999999999999999
3,1,557,0,8,0.0,0.0,0.9999999999999998
3,1,557,1,0,3.469446951953614e-18,8.673617379884035e-19,0.9999999999999994
3,1,557,1,1,2.7755575615628914e-17,1.734723475976807e-18,1.0
3,1,557,1,2,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000002
3,1,557,1,3,2.168404344971009e-19,2.710505431213761e-20,0.9999999999999998
3,1,557,1,4,1.3877787807814457e-17,1.734723475976807e-18,1.0000000000000002
3,1,557,1,5,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999997
3,1,557,1,6,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,557,1,7,2.7755575615628914e-17,3.469446951953614e-18,1.0000000000000004
3,1,557,1,8,1.3877787807814457e-17,1.734723475976807e-18,0.9999999999999996
3,1,557,2,0,0.0,0.0,0.9999999999999999
3,1,557,2,1,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999996
3,1,557,2,2,0.0,0.0,0.9999999999999993
3,1,557,2,3,0.0,0.0,0.9999999999999998
3,1,557,2,4,0.0,0.0,1.0000000000000002
3,1,557,2,5,0.0,0.0,0.9999999999999998
3,1,557,2,6,0.0,0.0,0.9999999999999998
3,1,557,2,7,6.938893903907228e-18,2.6020852139652106e-18,1.0
3,1,557,2,8,0.0,0.0,0.9999999999999998
3,1,557,3,0,0.0,0.0,1.0000000000000004
3,1,557,3,1,2.7755575615628914e-17,1.734723475976807e-18,1.0
3,1,557,3,2,0.0,0.0,0.9999999999999999
3,1,557,3,3,0.0,0.0,1.0000000000000009
3,1,557,3,4,0.0,0.0,0.9999999999999998
3,1,557,3,5,0.0,0.0,0.9999999999999998
3,1,557,3,6,0.0,0.0,0.9999999999999997
3,1,557,3,7,2.7755575615628914e-17,2.6020852139652106e-18,0.9999999999999996
3,1,557,3,8,0.0,0.0,1.0000000000000002
3,1,557,4,0,0.0,0.0,1.0000000000000004
3,1,557,4,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000002
3,1,557,4,2,0.0,0.0,0.9999999999999997
3,1,557,4,3,0.0,0.0,1.0000000000000002
3,1,557,4,4,0.0,0.0,0.9999999999999996
3,1,557,4,5,0.0,0.0,0.9999999999999997
3,1,557,4,6,0.0,0.0,0.9999999999999996
3,1,557,4,7,2.7755575615628914e-17,8.673617379884035e-19,1.0000000000000007
3,1,557,4,8,0.0,0.0,0.9999999999999999
3,1,557,5,0,0.0,0.0,1.0000000000000009
3,1,557,5,1,3.469446951953614e-18,2.6020852139652106e-18,1.0
3,1,557,5,2,0.0,0.0,1.0
3,1,557,5,3,0.0,0.0,1.0000000000000004
3,1,557,5,4,0.0,0.0,1.0000000000000004
3,1,557,5,5,0.0,0.0,0.9999999999999998
3,1,557,5,6,0.0,0.0,1.0000000000000004
3,1,557,5,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999994
3,1,557,5,8,0.0,0.0,1.0000000000000009
3,1,557,6,0,0.0,0.0,1.0
3,1,557,6,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,557,6,2,0.0,0.0,1.0000000000000004
3,1,557,6,3,0.0,0.0,0.9999999999999998
3,1,557,6,4,0.0,0.0,0.9999999999999996
3,1,557,6,5,0.0,0.0,1.0000000000000009
3,1,557,6,6,0.0,0.0,1.0000000000000004
3,1,557,6,7,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999998
3,1,557,6,8,0.0,0.0,1.0
3,1,557,7,0,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000004
3,1,557,7,1,2.7755575615628914e-17,3.469446951953614e-18,1.0
3,1,557,7,2,2.7755575615628914e-17,8.673617379884035e-19,0.9999999999999996
3,1,557,7,3,1.3877787807814457e-17,8.673617379884035e-19,1.0
3,1,557,7,4,2.7755575615628914e-17,8.673617379884035e-19,1.0000000000000004
3,1,557,7,5,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999998
3,1,557,7,6,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999998
3,1,557,7,7,2.7755575615628914e-17,2.6020852139652106e-18,0.9999999999999996
3,1,557,7,8,2.7755575615628914e-17,4.336808689942018e-19,0.9999999999999996
3,1,557,8,0,0.0,0.0,1.0000000000000004
3,1,557,8,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000002
3,1,557,8,2,0.0,0.0,0.9999999999999999
3,1,557,8,3,0.0,0.0,1.0000000000000002
3,1,557,8,4,0.0,0.0,0.9999999999999994
3,1,557,8,5,0.0,0.0,1.0000000000000002
3,1,557,8,6,0.0,0.0,0.9999999999999996
3,1,557,8,7,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999993
3,1,557,8,8,0.0,0.0,0.9999999999999992
3,1,1069,0,0,0.0,0.0,1.0
3,1,1069,0,1,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999993
3,1,1069,0,2,0.0,0.0,0.9999999999999998
3,1,1069,0,3,0.0,0.0,1.0
3,1,1069,0,4,0.0,0.0,1.0000000000000002
3,1,1069,0,5,0.0,0.0,0.9999999999999996
3,1,1069,0,6,0.0,0.0,0.9999999999999997
3,1,1069,0,7,2.7755575615628914e-17,1.734723475976807e-18,1.0
3,1,1069,0,8,0.0,0.0,1.0000000000000002
3,1,1069,1,0,2.7755575615628914e-17,1.734723475976807e-18,0.9999999999999997
3,1,1069,1,1,2.7755575615628914e-17,3.469446951953614e-18,1.0000000000000004
3,1,1069,1,2,2.7755575615628914e-17,8.673617379884035e-19,1.0
3,1,1069,1,3,2.7755575615628914e-17,1.734723475976807e-18,1.0
3,1,1069,1,4,2.7755575615628914e-17,3.469446951953614e-18,1.0000000000000004
3,1,1069,1,5,2.7755575615628914e-17,3.469446951953614e-18,1.0
3,1,1069,1,6,2.7755575615628914e-17,6.938893903907228e-18,1.0000000000000004
3,1,1069,1,7,4.163336342344337e-17,6.938893903907228e-18,0.9999999999999991
3,1,1069,1,8,2.7755575615628914e-17,4.336808689942018e-19,1.0000000000000007
3,1,1069,2,0,0.0,0.0,0.9999999999999998
3,1,1069,2,1,2.7755575615628914e-17,3.469446951953614e-18,0.9999999999999999
3,1,1069,2,2,0.0,0.0,1.0000000000000002
3,1,1069,2,3,0.0,0.0,1.0000000000000004
3,1,1069,2,4,0.0,0.0,0.9999999999999997
3,1,1069,2,5,0.0,0.0,1.0
3,1,1069,2,6,0.0,0.0,1.0000000000000002
3,1,1069,2,7,6.938893903907228e-18,8.673617379884035e-19,0.9999999999999997
3,1,1069,2,8,0.0,0.0,0.9999999999999989
3,1,1069,3,0,0.0,0.0,1.0000000000000004
3,1,1069,3,1,2.7755575615628914e-17,1.734723475976807e-18,1.0000000000000007
3,1,1069,3,2,0.0,0.0,1.0000000000000004
3,1,1069,3,3,0.0,0.0,1.0000000000000002
3,1,1069,3,4,0.0,0.0,1.0000000000000009
3,1,1069,3,5,0.0,0.0,0.9999999999999996
3,1,1069,3,6,0.0,0.0,0.9999999999999996
3,1,1069,3,7,2.7755575615628914e-17,8.673617379884035e-19,0.9999999999999996
3,1,1069,3,8,0.0,0.0,0.9999999999999998
3,1,1069,4,0,0.0,0.0,1.0
