file_key,sign,cluster_id,start,duration,field,unit,status,event_mean,predicted_event_mean,mean_residual,sum_residual,side_mad,side_rms,mad_displacement,slope_per_second
CH_PR100006_TG000302_V0300,positive,2,1064,2,CENTROID_Y,pixel,AVAILABLE,827.1940612792969,827.059697470669,0.13436380862786182,0.26872761725572364,0.1401243692520382,0.10928873347487156,0.9588896588443157,-3.168517337835385e-05
CH_PR100006_TG000302_V0300,positive,2,1064,2,OFFSET_X,pixel,AVAILABLE,0.2493743896484375,0.2662938416830759,-0.016919452034638426,-0.03383890406927685,0.14998634603504782,0.13800436381627612,-0.11280661528139901,3.7862595523526106e-05
CH_PR100006_TG000302_V0300,positive,2,1064,2,OFFSET_Y,pixel,AVAILABLE,-0.805938720703125,-0.9403025293309868,0.13436380862786182,0.26872761725572364,0.1401243692520382,0.10928873347487156,0.9588896588443157,-3.168517337835385e-05
CH_PR100006_TG000302_V0300,negative,0,738,1,FLUX,electron,AVAILABLE,390502376.98916394,390729428.0724449,-227051.08328097596,-227051.08328097596,25684.885345913583,38519.952437336906,-8.839871396081563,36.856814524440416
CH_PR100006_TG000302_V0300,negative,0,738,1,DARK,electron,AVAILABLE,23529.85101365738,23519.453052704164,10.39796095321405,10.39796095321405,32.054781497032614,48.75224955149698,0.32438096494829055,0.013805105272833311
CH_PR100006_TG000302_V0300,negative,0,738,1,BACKGROUND,electron,AVAILABLE,564794.1018454618,556909.5583148294,7884.543530632424,7884.543530632424,17476.806045679412,11934.435124875301,0.45114327583795716,-3.8346853830296275
CH_PR100006_TG000302_V0300,negative,0,738,1,CONTA_LC,ratio,AVAILABLE,1.0015145317847777e-05,9.20751959690843e-06,8.07625720939345e-07,8.07625720939345e-07,3.4622609581009757e-07,2.896122767671543e-07,2.3326540971721603,9.745887558744546e-10
CH_PR100006_TG000302_V0300,negative,0,738,1,CONTA_LC_ERR,ratio,AVAILABLE,6.68373491502324e-07,6.68373491502324e-07,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,negative,0,738,1,SMEARING_LC,electron,AVAILABLE,41454.85696743734,65679.91317158748,-24225.056204150133,-24225.056204150133,47409.176564029694,66030.21639861028,-0.5109782105460607,88.60911109832932
CH_PR100006_TG000302_V0300,negative,0,738,1,SMEARING_LC_ERR,ratio,AVAILABLE,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,negative,0,738,1,ROLL_ANGLE,degree,AVAILABLE,83.85972963719678,77.48918903105744,6.370540606139342,6.370540606139342,3.458471847995756,3.916237334913532,1.8420102536995293,-0.0925787643406634
CH_PR100006_TG000302_V0300,negative,0,738,1,LOCATION_X,pixel,AVAILABLE,280.0,280.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,negative,0,738,1,LOCATION_Y,pixel,AVAILABLE,828.0,828.0,0.0,0.0,0.0,0.0,,0.0
CH_PR100006_TG000302_V0300,negative,0,738,1,CENTROID_X,pixel,AVAILABLE,280.295166015625,280.28730901106314,0.007857004561869585,0.007857004561869585,0.08313599858408355,0.15143828226864878,0.09450785093924179,2.071082920803275e-06
