epoch1_on: eight native caches and all cropped baseline scores exact
epoch2_on: eight native caches and all cropped baseline scores exact
epoch3_on: eight native caches and all cropped baseline scores exact
83/149 fresh045 {'neighbor9': 12, 'off_window': 0, 'remaining_aggregate': 12, 'combined': 0, 'centered_receiver': 12, 'centered_receiver_off_match': 12, 'centered_receiver_off_match_aggregate': 12}
84/149 fresh046 {'neighbor9': 283, 'off_window': 283, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 306, 'centered_receiver_off_match': 306, 'centered_receiver_off_match_aggregate': 0}
85/149 fresh047 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
86/149 fresh048 {'neighbor9': 8, 'off_window': 0, 'remaining_aggregate': 8, 'combined': 0, 'centered_receiver': 8, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
87/149 fresh049 {'neighbor9': 97, 'off_window': 97, 'remaining_aggregate': 88, 'combined': 88, 'centered_receiver': 97, 'centered_receiver_off_match': 97, 'centered_receiver_off_match_aggregate': 88}
88/149 fresh050 {'neighbor9': 278, 'off_window': 278, 'remaining_aggregate': 180, 'combined': 180, 'centered_receiver': 278, 'centered_receiver_off_match': 278, 'centered_receiver_off_match_aggregate': 180}
89/149 fresh051 {'neighbor9': 36, 'off_window': 36, 'remaining_aggregate': 36, 'combined': 36, 'centered_receiver': 36, 'centered_receiver_off_match': 36, 'centered_receiver_off_match_aggregate': 36}
90/149 fresh052 {'neighbor9': 3, 'off_window': 0, 'remaining_aggregate': 3, 'combined': 0, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 3}
91/149 fresh053 {'neighbor9': 60, 'off_window': 60, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 60, 'centered_receiver_off_match': 60, 'centered_receiver_off_match_aggregate': 0}
92/149 fresh054 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
93/149 fresh055 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
94/149 fresh056 {'neighbor9': 24, 'off_window': 24, 'remaining_aggregate': 20, 'combined': 20, 'centered_receiver': 24, 'centered_receiver_off_match': 24, 'centered_receiver_off_match_aggregate': 20}
95/149 fresh057 {'neighbor9': 269, 'off_window': 269, 'remaining_aggregate': 34, 'combined': 34, 'centered_receiver': 269, 'centered_receiver_off_match': 269, 'centered_receiver_off_match_aggregate': 34}
96/149 fresh058 {'neighbor9': 20, 'off_window': 20, 'remaining_aggregate': 20, 'combined': 20, 'centered_receiver': 20, 'centered_receiver_off_match': 20, 'centered_receiver_off_match_aggregate': 20}
97/149 fresh059 {'neighbor9': 3, 'off_window': 0, 'remaining_aggregate': 3, 'combined': 0, 'centered_receiver': 3, 'centered_receiver_off_match': 3, 'centered_receiver_off_match_aggregate': 3}
98/149 fresh060 {'neighbor9': 119, 'off_window': 119, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 119, 'centered_receiver_off_match': 119, 'centered_receiver_off_match_aggregate': 0}
99/149 fresh061 {'neighbor9': 2, 'off_window': 2, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 2, 'centered_receiver_off_match': 2, 'centered_receiver_off_match_aggregate': 0}
100/149 fresh062 {'neighbor9': 0, 'off_window': 0, 'remaining_aggregate': 0, 'combined': 0, 'centered_receiver': 0, 'centered_receiver_off_match': 0, 'centered_receiver_off_match_aggregate': 0}
101/149 fresh063 {'neighbor9': 24, 'off_window': 24, 'remaining_aggregate': 21, 'combined': 21, 'centered_receiver': 24, 'centered_receiver_off_match': 24, 'centered_receiver_off_match_aggregate': 21}
102/149 fresh064 {'neighbor9': 47, 'off_window': 47, 'remaining_aggregate': 21, 'combined': 21, 'centered_receiver': 47, 'centered_receiver_off_match': 47, 'centered_receiver_off_match_aggregate': 21}
