name,camera,ccd,grid_row,grid_col,row_residue,column_residue,phase_sum,uncertainty_entry_sum
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,1,3,1.0,0.1116755330345524
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,1,4,0.9999999999999999,0.10584000409905586
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,1,5,1.0000000000000002,0.10816979724554177
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,1,6,0.9999999999999996,0.109055979060873
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,1,7,1.0000000000000002,0.10301903241284817
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,1,8,0.9999999999999998,0.10526230136910525
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,2,0,0.9999999999999991,0.10210721373264686
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,2,1,1.0000000000000004,0.1008369754810355
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,2,2,1.0,0.09790586670287793
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,2,3,1.0000000000000002,0.10789869263016513
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,2,4,1.0,0.10217274196726295
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,2,5,1.0000000000000007,0.10152744085049137
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,2,6,0.9999999999999998,0.11151859748107289
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,2,7,0.9999999999999993,0.107567348585863
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,2,8,1.0000000000000007,0.10026893675920176
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,3,0,1.0,0.10528981182407467
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,3,1,1.0,0.0977756917900653
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,3,2,1.0000000000000002,0.10748417166833837
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,3,3,1.0000000000000004,0.10142172964529093
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,3,4,1.0000000000000007,0.10313091871233176
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,3,5,1.0,0.09464081614618251
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,3,6,1.000000000000001,0.10808871002225857
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,3,7,0.9999999999999996,0.1103505033626517
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,3,8,0.9999999999999997,0.09920882442408888
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,4,0,1.0,0.10390080816477142
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,4,1,0.9999999999999994,0.10028376363449922
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,4,2,0.9999999999999998,0.10687375531036311
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,4,3,0.9999999999999999,0.10215351883677143
tess2019107181902-prf-4-4-row0513-col1069.fits,4,4,513,1069,4,4,0.9999999999999996,0.11208081988450386
