sector,context,cadence,time_spacecraft_btjd,quaternion_rows,finite_fom_rows,minimum_fom,finite_guide_count_rows,minimum_guides_used
32,6,4163768,2191.2896867546647,10,10,236.0,10,199.0
32,6,4163769,2191.289918236043,10,10,236.0,10,199.0
32,6,4163770,2191.290149717422,10,10,236.0,10,199.0
32,6,4163771,2191.2903811988003,10,10,236.0,10,198.0
32,6,4163772,2191.290612680179,10,10,236.0,10,199.0
32,6,4163773,2191.2908441615577,10,10,236.0,10,199.0
32,6,4163774,2191.2910756429364,10,10,236.0,10,198.0
32,6,4163775,2191.291307124315,10,10,236.0,10,199.0
32,6,4163776,2191.291538605694,10,10,236.0,10,199.0
32,6,4163777,2191.2917700870726,10,10,252.0,10,200.0
32,6,4163778,2191.2920015684513,10,10,236.0,10,199.0
32,6,4163779,2191.29223304983,10,10,236.0,10,199.0
32,6,4163780,2191.2924645312087,10,10,236.0,10,199.0
32,6,4163781,2191.2926960125874,10,10,236.0,10,199.0
32,6,4163782,2191.292927493966,10,10,236.0,10,198.0
32,6,4163783,2191.293158975345,10,10,236.0,10,199.0
32,6,4163784,2191.2933904567235,10,10,236.0,10,199.0
32,6,4163785,2191.293621938102,10,10,236.0,10,199.0
32,6,4163786,2191.2938534194814,10,10,236.0,10,198.0
32,6,4163787,2191.294084900861,10,10,236.0,10,198.0
32,6,4163788,2191.2943163822397,10,10,236.0,10,199.0
32,6,4163789,2191.294547863618,10,10,236.0,10,198.0
32,6,4163790,2191.294779344997,10,10,236.0,10,198.0
32,6,4163791,2191.2950108263753,10,10,236.0,10,198.0
32,6,4163792,2191.2952423077545,10,10,236.0,10,199.0
32,6,4163793,2191.2954737891328,10,10,236.0,10,199.0
32,6,4163794,2191.295705270512,10,10,236.0,10,199.0
32,6,4163795,2191.29593675189,10,10,236.0,10,199.0
32,6,4163796,2191.2961682332693,10,10,236.0,10,199.0
32,6,4163797,2191.2963997146476,10,10,236.0,10,199.0
32,6,4163798,2191.2966311960267,10,10,236.0,10,199.0
32,6,4163799,2191.296862677405,10,10,236.0,10,199.0
32,6,4163800,2191.297094158784,10,10,236.0,10,199.0
